telemetry_id,timestamp,vehicle_id,speed_kmh,accel_m_s2,event,lat,lon,heading_deg
T000074,2025-09-22T14:24:20,V002,57.25,-0.743,normal,52.374715,4.900995,22.71
T000075,2025-09-22T14:24:40,V002,71.55,0.158,normal,52.37481,4.900844,27.13
T000076,2025-09-22T14:25:00,V002,57.48,0.222,normal,52.374757,4.900866,31.13
T000077,2025-09-22T14:25:20,V002,50.71,-0.498,normal,52.374792,4.9011,33.51
T000078,2025-09-22T14:25:40,V002,55.68,0.445,normal,52.374885,4.901159,32.23
T000079,2025-09-22T14:26:00,V002,68.69,-0.859,normal,52.3747,4.901076,33.85
T000080,2025-09-22T14:26:20,V002,56.93,0.148,normal,52.374783,4.901133,36.79
T000081,2025-09-22T14:26:40,V002,70.2,-0.02,normal,52.374877,4.90111,33.12
T000082,2025-09-22T14:27:00,V002,44.26,-0.059,normal,52.37506,4.90122,38.2
T000083,2025-09-22T14:27:20,V002,29.98,-2.466,hard_brake,52.375232,4.901293,32.98
T000084,2025-09-22T14:27:40,V002,53.92,-0.469,normal,52.375293,4.901428,35.1
T000085,2025-09-22T14:28:00,V002,44.28,0.809,normal,52.375494,4.901352,39.46
T000086,2025-09-22T14:28:20,V002,95.32,0.608,normal,52.375748,4.901368,39.12
T000087,2025-09-22T14:28:40,V002,46.84,0.371,normal,52.375801,4.901569,38.67
T000088,2025-09-22T14:29:00,V002,70.98,0.47,normal,52.375893,4.901476,40.67
T000089,2025-09-22T14:29:20,V002,61.88,3.21,hard_accel,52.375766,4.901426,46.22
T000090,2025-09-22T14:29:40,V002,53.83,-0.162,normal,52.375671,4.90152,45.38
T000091,2025-09-22T14:30:00,V002,63.62,0.024,normal,52.375637,4.901624,43.04
T000092,2025-09-22T14:30:20,V002,42.5,-0.736,normal,52.375643,4.901636,41.77
T000093,2025-09-22T14:30:40,V002,52.05,-0.045,normal,52.375583,4.901672,37.11
T000094,2025-09-22T14:31:00,V002,58.24,0.592,normal,52.375629,4.901806,39.8
T000095,2025-09-22T14:31:20,V002,49.85,-0.33,normal,52.375638,4.901978,38.26
T000096,2025-09-22T14:31:40,V002,50.13,0.512,normal,52.375795,4.90192,37.63
T000097,2025-09-22T14:32:00,V002,73.04,0.046,normal,52.375798,4.902033,40.36
T000098,2025-09-22T14:32:20,V002,72.06,-0.693,normal,52.375619,4.902285,39.23
T000099,2025-09-22T14:32:40,V002,54.7,-0.554,normal,52.375681,4.902341,41.51
T000100,2025-09-22T14:33:00,V002,58.99,0.46,normal,52.37573,4.902281,38.4
T000101,2025-09-22T14:33:20,V002,74.84,0.276,normal,52.375694,4.902216,41.27
T000102,2025-09-22T14:33:40,V002,42.88,0.051,normal,52.375753,4.902267,42.3
T000103,2025-09-22T14:34:00,V002,64.06,-0.137,normal,52.375696,4.902461,42.03
T000104,2025-09-22T14:34:20,V002,83.69,0.105,normal,52.375779,4.902526,42.42
T000105,2025-09-22T14:34:40,V002,83.58,0.44,normal,52.376092,4.902619,38.56
T000106,2025-09-22T14:35:00,V002,36.72,0.738,normal,52.375962,4.90257,38.89
T000107,2025-09-22T14:35:20,V002,50.85,0.762,normal,52.37596,4.902758,38.46
T000108,2025-09-22T14:35:40,V002,62.02,0.186,normal,52.375942,4.90269,34.69
T000109,2025-09-22T14:36:00,V002,44.14,-0.086,normal,52.375949,4.9027,32.67
T000110,2025-09-22T14:36:20,V002,51.98,0.073,normal,52.376101,4.902845,32.28
T000111,2025-09-22T14:36:40,V002,58.35,0.261,normal,52.376205,4.90267,30.46
T000112,2025-09-22T14:37:00,V002,76.82,0.259,normal,52.37634,4.902761,23.23
T000113,2025-09-22T14:37:20,V002,59.46,0.654,normal,52.376393,4.902707,26.46
T000114,2025-09-22T14:37:40,V002,62.6,1.058,normal,52.376311,4.902779,26.03
T000115,2025-09-22T14:38:00,V002,66.15,-0.103,normal,52.376249,4.902806,19.21
T000116,2025-09-22T14:38:20,V002,66.52,1.078,normal,52.376374,4.903129,25.61
T000117,2025-09-22T14:38:40,V002,60.34,0.586,normal,52.376441,4.903152,29.34
T000118,2025-09-22T14:39:00,V002,45.63,-0.05,lane_change,52.376617,4.903443,28.29
T000119,2025-09-22T14:39:20,V002,69.48,0.749,normal,52.376697,4.903583,25.76
T000120,2025-09-22T14:39:40,V002,65.18,0.843,normal,52.376628,4.903557,26.97
T000121,2025-09-22T14:40:00,V002,46.84,-0.23,normal,52.376626,4.903667,27.58
T000122,2025-09-22T14:40:20,V002,51.81,0.866,normal,52.376733,4.9037,29.2
T000123,2025-09-22T14:40:40,V002,70.65,0.538,normal,52.376854,4.903799,26.69
T000124,2025-09-22T14:41:00,V002,67.27,1.184,normal,52.376989,4.903784,29.98
T000125,2025-09-22T14:41:20,V002,51.36,-0.212,normal,52.376934,4.904057,28.56
T000126,2025-09-22T14:41:40,V002,56.76,-0.177,normal,52.376864,4.904238,30.6
T000127,2025-09-22T14:42:00,V002,58.28,-1.013,normal,52.376895,4.904311,28.21
T000128,2025-09-22T14:42:20,V002,67.4,0.286,normal,52.377089,4.904589,36.15
T000129,2025-09-22T14:42:40,V002,74.99,0.188,normal,52.37707,4.904668,38.24
T000130,2025-09-22T14:43:00,V002,60.79,-0.281,normal,52.377165,4.90487,46.89
T000131,2025-09-22T14:43:20,V002,74.03,-0.041,normal,52.377261,4.904944,49.38
T000132,2025-09-22T14:43:40,V002,70.48,-0.656,normal,52.377387,4.905061,47.69
T000133,2025-09-22T14:44:00,V002,62.47,0.599,normal,52.377603,4.905122,50.18
T000134,2025-09-22T14:44:20,V002,42.68,-0.245,normal,52.377809,4.905203,52.88
T000135,2025-09-22T14:44:40,V002,47.67,1.547,normal,52.3778,4.905294,54.0
T000136,2025-09-22T14:45:00,V002,68.89,-0.088,normal,52.37764,4.905283,55.89
T000137,2025-09-22T14:45:20,V002,39.47,-0.38,normal,52.377622,4.905305,58.18
T000138,2025-09-22T14:45:40,V002,61.43,-0.206,normal,52.37768,4.905349,55.2
T000139,2025-09-22T14:46:00,V002,72.01,-0.706,normal,52.377694,4.905447,52.0
T000140,2025-09-22T14:46:20,V002,61.83,0.241,normal,52.377941,4.905513,49.62
T000141,2025-09-22T14:46:40,V002,52.78,-0.21,normal,52.377992,4.905724,50.0
T000142,2025-09-22T14:47:00,V002,49.84,0.566,normal,52.378108,4.905895,49.33
T000143,2025-09-22T14:47:20,V002,69.79,-0.137,normal,52.37818,4.905942,46.41
T000144,2025-09-22T14:47:40,V002,65.66,0.692,normal,52.378195,4.906178,48.73
T000145,2025-09-22T14:48:00,V002,56.57,0.379,normal,52.378052,4.906472,49.58
T000146,2025-09-22T14:48:20,V002,72.78,0.014,normal,52.378095,4.906297,50.09
T000147,2025-09-22T14:48:40,V002,70.25,0.79,normal,52.37847,4.906479,49.31
T000148,2025-09-22T14:49:00,V002,81.46,0.476,normal,52.378396,4.906466,48.18
T000149,2025-09-22T14:49:20,V002,66.8,1.473,normal,52.378264,4.906632,45.66
T000150,2025-09-22T14:49:40,V002,58.03,-0.205,normal,52.378508,4.906851,48.46
T000151,2025-09-22T14:50:00,V002,58.28,0.038,normal,52.378632,4.906815,46.35
T000152,2025-09-22T14:50:20,V002,36.79,0.784,normal,52.378701,4.906663,46.97
T000153,2025-09-22T14:50:40,V002,61.81,-0.772,normal,52.378887,4.906833,51.96
T000154,2025-09-22T14:51:00,V002,59.81,0.658,normal,52.378854,4.90692,50.96
T000155,2025-09-22T14:51:20,V002,44.04,0.22,normal,52.378893,4.906789,53.85
T000156,2025-09-22T14:51:40,V002,59.7,-0.444,normal,52.379039,4.907163,55.55
T000157,2025-09-22T14:52:00,V002,76.12,-0.682,lane_change,52.3793,4.907308,56.49
T000158,2025-09-22T14:52:20,V002,51.19,-0.336,normal,52.379233,4.907458,57.78
T000159,2025-09-22T14:52:40,V002,48.48,-1.142,normal,52.379411,4.907692,57.49
T000160,2025-09-22T14:53:00,V002,73.26,-0.245,normal,52.379499,4.907692,57.6
T000161,2025-09-22T14:53:20,V002,67.61,0.311,normal,52.379565,4.907778,55.95
T000162,2025-09-22T14:53:40,V002,96.73,-0.238,normal,52.379615,4.90769,56.08
T000163,2025-09-22T14:54:00,V002,44.18,0.694,lane_change,52.379526,4.907687,54.32
T000164,2025-09-22T14:54:20,V002,68.64,0.83,normal,52.379672,4.907803,57.34
T000165,2025-09-22T14:54:40,V002,63.79,0.638,normal,52.379644,4.907673,52.24
T000166,2025-09-22T14:55:00,V002,60.71,0.115,normal,52.379586,4.907667,53.68
T000167,2025-09-22T14:55:20,V002,70.93,-1.162,normal,52.379725,4.907626,54.69
T000168,2025-09-22T14:55:40,V002,59.64,-0.352,normal,52.379854,4.907713,55.43
T000169,2025-09-22T14:56:00,V002,36.76,-0.071,normal,52.379912,4.907852,58.5
T000170,2025-09-22T14:56:20,V002,74.45,2.408,hard_accel,52.38007,4.908011,57.65
T000171,2025-09-22T14:56:40,V002,76.37,-0.07,normal,52.380262,4.9082,58.41
T000172,2025-09-22T14:57:00,V002,74.06,0.805,lane_change,52.380443,4.908435,53.26
T000173,2025-09-22T14:57:20,V002,55.52,-0.823,normal,52.38044,4.908578,52.02
T000174,2025-09-22T14:57:40,V002,66.04,0.906,normal,52.380592,4.908874,54.58
T000175,2025-09-22T14:58:00,V002,93.41,0.442,normal,52.380663,4.908959,50.57
T000176,2025-09-22T14:58:20,V002,59.63,0.134,normal,52.380885,4.909008,51.05
T000177,2025-09-22T14:58:40,V002,59.86,-0.357,normal,52.380923,4.909151,49.01
T000178,2025-09-22T14:59:00,V002,62.29,-0.437,normal,52.380937,4.909195,48.68
T000179,2025-09-22T14:59:20,V002,67.28,-0.813,normal,52.380926,4.909487,46.83
T000180,2025-09-22T14:59:40,V002,55.81,0.858,normal,52.380995,4.909693,43.09
T000181,2025-09-22T15:00:00,V002,67.27,0.769,normal,52.381091,4.909853,44.24
T000182,2025-09-22T15:00:20,V002,36.67,-0.703,normal,52.38119,4.909939,44.1
T000183,2025-09-22T15:00:40,V002,64.04,-0.276,normal,52.381275,4.90996,45.93
T000184,2025-09-22T15:01:00,V002,60.61,0.217,normal,52.381392,4.910114,48.32
T000185,2025-09-22T15:01:20,V002,57.39,-0.15,normal,52.38142,4.910049,51.99
T000186,2025-09-22T15:01:40,V002,54.3,-0.959,normal,52.381383,4.910303,52.39
T000187,2025-09-22T15:02:00,V002,73.64,1.253,hard_accel,52.381337,4.910352,56.2
T000188,2025-09-22T15:02:20,V002,50.24,0.976,normal,52.381484,4.910458,53.27
T000189,2025-09-22T15:02:40,V002,32.18,-0.295,normal,52.381581,4.910419,56.0
T000190,2025-09-22T15:03:00,V002,56.78,-0.082,normal,52.381446,4.910576,57.38
T000191,2025-09-22T15:03:20,V002,73.16,-0.573,normal,52.381605,4.910591,58.08
T000192,2025-09-22T15:03:40,V002,55.98,0.294,normal,52.381843,4.910739,59.41
T000193,2025-09-22T15:04:00,V002,67.62,0.058,normal,52.381822,4.9109,56.53
T000194,2025-09-22T15:04:20,V002,47.04,-0.371,normal,52.381905,4.910892,52.94
T000195,2025-09-22T15:04:40,V002,44.33,-0.652,normal,52.381908,4.910828,58.07
T000196,2025-09-22T15:05:00,V002,30.83,-1.401,hard_brake,52.382021,4.911081,57.56
T000197,2025-09-22T15:05:20,V002,47.69,-0.803,normal,52.381954,4.911128,57.01
T000198,2025-09-22T15:05:40,V002,45.8,0.252,normal,52.381997,4.911225,53.7
T000199,2025-09-22T15:06:00,V002,65.4,-1.077,normal,52.382145,4.911354,49.26
T000200,2025-09-22T15:06:20,V002,81.35,0.354,normal,52.382319,4.911273,48.99
T000201,2025-09-22T15:06:40,V002,52.0,0.485,normal,52.382411,4.911399,47.97
T000202,2025-09-22T15:07:00,V002,39.7,0.547,normal,52.382428,4.911481,47.97
T000203,2025-09-22T15:07:20,V002,67.88,-0.081,normal,52.382318,4.911473,48.24
T000204,2025-09-22T15:07:40,V002,42.77,0.792,normal,52.382292,4.911405,55.7
T000205,2025-09-22T15:08:00,V002,29.84,-1.899,hard_brake,52.382296,4.911547,54.69
T000206,2025-09-22T15:08:20,V002,65.94,-0.161,normal,52.382276,4.911753,59.43
T000207,2025-09-22T15:08:40,V002,58.02,-0.226,normal,52.382332,4.911844,64.35
T000208,2025-09-22T15:09:00,V002,51.75,0.075,normal,52.382348,4.911742,66.62
T000209,2025-09-22T15:09:20,V002,60.82,-0.239,normal,52.382415,4.911685,65.91
T000210,2025-09-22T15:09:40,V002,55.09,-0.312,normal,52.382585,4.911703,61.83
T000211,2025-09-22T15:10:00,V002,82.67,-0.268,normal,52.382594,4.911961,63.26
T000212,2025-09-22T15:10:20,V002,51.89,0.858,normal,52.382506,4.912001,66.32
T000213,2025-09-22T15:10:40,V002,49.04,0.386,normal,52.382486,4.912015,71.56
T000214,2025-09-22T15:11:00,V002,54.54,-0.24,normal,52.382594,4.911884,68.71
T000215,2025-09-22T15:11:20,V002,55.05,-1.228,normal,52.382712,4.911875,67.98
T000216,2025-09-22T15:11:40,V002,67.15,-0.772,normal,52.382803,4.911797,65.15
T000217,2025-09-22T15:12:00,V002,36.1,0.252,normal,52.382983,4.911747,63.25
T000218,2025-09-22T15:12:20,V002,65.11,-1.061,normal,52.383014,4.911831,65.24
T000219,2025-09-22T15:12:40,V002,53.5,0.146,normal,52.383269,4.911853,63.2
T000220,2025-09-22T15:13:00,V002,51.05,-3.07,hard_brake,52.383401,4.912127,60.73
T000221,2025-09-22T15:13:20,V002,59.43,0.046,normal,52.383199,4.912327,63.12
T000222,2025-09-22T15:13:40,V002,66.22,0.032,normal,52.383429,4.912324,64.47
T000223,2025-09-22T15:14:00,V002,55.3,0.06,normal,52.383402,4.912284,65.52
T000224,2025-09-22T15:14:20,V002,85.59,2.262,hard_accel,52.383349,4.912519,63.56
T000225,2025-09-22T15:14:40,V002,79.97,-0.214,normal,52.383451,4.912789,67.44
T000226,2025-09-22T15:15:00,V002,64.85,1.235,hard_accel,52.383327,4.912595,67.49
T000227,2025-09-22T15:15:20,V002,69.84,2.687,hard_accel,52.383308,4.912676,74.63
T000228,2025-09-22T15:15:40,V002,54.17,0.403,normal,52.383513,4.912716,75.11
T000229,2025-09-22T15:16:00,V002,79.12,-0.609,normal,52.383619,4.912864,68.11
T000230,2025-09-22T15:16:20,V002,54.79,-0.026,normal,52.38375,4.913167,60.98
T000231,2025-09-22T15:16:40,V002,51.21,0.098,normal,52.383735,4.913179,62.85
T000232,2025-09-22T15:17:00,V002,53.06,0.092,normal,52.383631,4.913002,66.75
T000233,2025-09-22T15:17:20,V002,58.37,0.083,normal,52.383751,4.913141,64.4
T000234,2025-09-22T15:17:40,V002,50.48,-0.201,normal,52.383895,4.913378,70.7
T000235,2025-09-22T15:18:00,V002,55.58,0.14,normal,52.384033,4.913412,75.69
T000236,2025-09-22T15:18:20,V002,61.89,0.309,normal,52.384104,4.913397,76.32
T000237,2025-09-22T15:18:40,V002,58.61,0.071,normal,52.384057,4.913415,77.94
T000238,2025-09-22T15:19:00,V002,69.98,0.253,normal,52.384351,4.913587,80.62
T000239,2025-09-22T15:19:20,V002,56.17,0.495,normal,52.384449,4.913602,86.29
T000240,2025-09-22T15:19:40,V002,57.54,-0.925,normal,52.384482,4.913712,88.34
T000241,2025-09-22T15:20:00,V002,86.11,2.276,hard_accel,52.384515,4.913785,88.9
T000242,2025-09-22T15:20:20,V002,86.94,0.171,normal,52.38458,4.913846,90.92
T000243,2025-09-22T15:20:40,V002,50.55,-0.556,normal,52.384737,4.914,92.53
T000244,2025-09-22T15:21:00,V002,83.08,0.401,normal,52.384806,4.914013,95.31
T000245,2025-09-22T15:21:20,V002,65.07,1.793,hard_accel,52.384941,4.914031,90.6
T000246,2025-09-22T15:21:40,V002,62.75,-0.131,normal,52.385007,4.914197,91.54
T000247,2025-09-22T15:22:00,V002,55.93,-0.254,normal,52.385045,4.914148,92.93
T000248,2025-09-22T15:22:20,V002,50.22,0.151,normal,52.385159,4.914113,92.71
T000249,2025-09-22T15:22:40,V002,50.85,-3.636,hard_brake,52.38527,4.914031,95.06
T000250,2025-09-22T15:23:00,V002,67.2,0.451,normal,52.385303,4.914203,100.82
T000251,2025-09-22T15:23:20,V002,54.23,-0.069,normal,52.385278,4.914261,101.24
T000252,2025-09-22T15:23:40,V002,34.87,-0.182,normal,52.385362,4.914173,103.31
T000253,2025-09-22T15:24:00,V002,54.96,0.376,normal,52.38542,4.914345,108.13
T000254,2025-09-22T15:24:20,V002,61.67,-0.16,normal,52.385414,4.914349,108.62
T000255,2025-09-22T15:24:40,V002,60.02,0.474,normal,52.38538,4.914314,105.95
T000256,2025-09-22T15:25:00,V002,69.07,0.49,normal,52.385471,4.914361,107.8
T000257,2025-09-22T15:25:20,V002,83.2,-0.667,normal,52.385576,4.914608,101.19
T000258,2025-09-22T15:25:40,V002,64.97,0.555,normal,52.38559,4.914631,94.3
T000259,2025-09-22T15:26:00,V002,38.09,-3.407,hard_brake,52.385582,4.91477,95.3
T000260,2025-09-22T15:26:20,V002,61.78,0.586,normal,52.385549,4.914927,88.26
T000261,2025-09-22T15:26:40,V002,74.07,1.014,normal,52.385637,4.91505,84.32
T000262,2025-09-22T15:27:00,V002,66.38,0.437,normal,52.385607,4.915273,83.18
T000263,2025-09-22T15:27:20,V002,68.99,-1.078,normal,52.385881,4.915258,81.01
T000264,2025-09-22T15:27:40,V002,81.71,0.532,normal,52.38589,4.915203,80.57
T000265,2025-09-22T15:28:00,V002,62.72,1.123,normal,52.385698,4.915145,83.91
T000266,2025-09-22T15:28:20,V002,56.75,-0.152,normal,52.385745,4.915198,84.62
T000267,2025-09-22T15:28:40,V002,65.36,-0.017,normal,52.385787,4.915154,82.1
T000268,2025-09-22T15:29:00,V002,73.63,-0.594,normal,52.385948,4.915242,86.17
T000269,2025-09-22T15:29:20,V002,66.02,0.156,normal,52.386027,4.915321,81.88
T000270,2025-09-22T15:29:40,V002,72.73,0.635,normal,52.385994,4.915513,82.55
T000271,2025-09-22T15:30:00,V002,51.97,0.349,normal,52.386015,4.915618,77.93
T000272,2025-09-22T15:30:20,V002,49.58,1.571,normal,52.386098,4.915638,78.68
T000273,2025-09-22T15:30:40,V002,53.46,0.017,normal,52.385931,4.915758,77.73
T000274,2025-09-22T15:31:00,V002,44.79,-0.815,normal,52.386115,4.915704,80.97
T000275,2025-09-22T15:31:20,V002,61.32,0.085,normal,52.386082,4.915769,83.14
T000276,2025-09-22T15:31:40,V002,54.84,-1.208,normal,52.386274,4.915878,81.38
T000277,2025-09-22T15:32:00,V002,74.76,-0.267,normal,52.386363,4.915963,79.04
T000278,2025-09-22T15:32:20,V002,44.51,0.812,normal,52.386476,4.916083,78.09
T000279,2025-09-22T15:32:40,V002,78.66,0.163,normal,52.386641,4.916076,83.72
T000280,2025-09-22T15:33:00,V002,48.23,0.09,normal,52.386748,4.916284,88.58
T000281,2025-09-22T15:33:20,V002,45.14,0.91,normal,52.386866,4.916573,85.67
T000282,2025-09-22T15:33:40,V002,50.1,-0.135,normal,52.386899,4.91645,88.07
T000283,2025-09-22T15:34:00,V002,83.42,0.631,lane_change,52.386986,4.916375,82.88
T000284,2025-09-22T15:34:20,V002,59.52,0.065,lane_change,52.386978,4.91645,81.54
T000285,2025-09-22T15:34:40,V002,66.35,0.19,normal,52.386993,4.916489,78.75
T000286,2025-09-22T15:35:00,V002,57.79,-0.609,normal,52.38724,4.916786,81.96
T000287,2025-09-22T15:35:20,V002,58.92,-0.241,normal,52.387209,4.916883,78.09
T000288,2025-09-22T15:35:40,V002,53.93,-0.699,normal,52.387274,4.91712,79.38
T000289,2025-09-22T15:36:00,V002,60.61,-0.048,normal,52.387336,4.916944,79.38
T000290,2025-09-22T15:36:20,V002,65.94,0.195,normal,52.387355,4.917112,78.85
T000291,2025-09-22T15:36:40,V002,80.14,-0.555,normal,52.387456,4.917096,83.87
T000292,2025-09-22T15:37:00,V002,37.51,1.025,normal,52.387565,4.917078,89.15
T000293,2025-09-22T15:37:20,V002,79.33,0.139,normal,52.387523,4.917118,88.71
T000294,2025-09-22T15:37:40,V002,66.34,0.029,normal,52.387583,4.917017,87.68
T000295,2025-09-22T15:38:00,V002,55.59,0.385,normal,52.387524,4.91714,83.16
T000296,2025-09-22T15:38:20,V002,53.43,-0.414,normal,52.387653,4.917233,83.14
T000297,2025-09-22T15:38:40,V002,72.52,0.082,normal,52.387721,4.917335,89.0
T000298,2025-09-22T15:39:00,V002,62.75,-0.358,normal,52.387779,4.917512,88.62
T000299,2025-09-22T15:39:20,V002,41.59,0.779,normal,52.387895,4.917764,90.8
T000300,2025-09-22T15:39:40,V002,64.36,-0.529,normal,52.387918,4.91779,86.61
T000301,2025-09-22T15:40:00,V002,73.73,0.032,normal,52.388059,4.917917,85.31
T000302,2025-09-22T15:40:20,V002,70.29,0.165,normal,52.388014,4.918022,86.69
T000303,2025-09-22T15:40:40,V002,52.48,0.197,normal,52.388205,4.918138,87.01
T000304,2025-09-22T15:41:00,V002,43.9,-0.291,normal,52.3882,4.918255,89.48
